Filename	x(cm)	h(cm)	date	time	duration	COM	totalcount	mean	std
output_x0cm_h10cm_20250610_151638_COM4.txt	0.0	10.0	20250610	151638	78411.7534	COM4	25178.0000	0.3211	0.0020
output_x0cm_h10cm_20250610_152048_COM5.txt	0.0	10.0	20250610	152048	78162.9800	COM5	19185.0000	0.2454	0.0018
output_x0cm_h32.5cm_20250616_143546_COM5.txt	0.0	32.5	20250616	143546	8045.2916	COM5	252.0000	0.0313	0.0020
output_x0cm_h32.5cm_20250616_143619_COM19.txt	0.0	32.5	20250616	143619	7806.4049	COM19	364.0000	0.0466	0.0024
output_x0cm_h32.5cm_20250620_123717_COM3.txt	0.0	32.5	20250620	123717	10072.1394	COM3	515.0000	0.0511	0.0023
output_x0cm_h32.5cm_20250620_123822_COM8.txt	0.0	32.5	20250620	123822	10021.9039	COM8	478.0000	0.0477	0.0022
output_x2cm_h10cm_20250610_152223_COM19.txt	2.0	10.0	20250610	152223	78060.2470	COM19	21864.0000	0.2801	0.0019
output_x2cm_h10cm_20250610_152407_COM8.txt	2.0	10.0	20250610	152407	77961.2342	COM8	22227.0000	0.2851	0.0019
output_x3cm_h32.5cm_20250616_143434_COM3.txt	3.0	32.5	20250616	143434	8201.1645	COM3	407.0000	0.0496	0.0025
output_x3cm_h32.5cm_20250616_143527_COM4.txt	3.0	32.5	20250616	143527	8089.3909	COM4	197.0000	0.0244	0.0017
output_x3cm_h32.5cm_20250620_123742_COM5.txt	3.0	32.5	20250620	123742	10056.7536	COM5	289.0000	0.0287	0.0017
output_x3cm_h32.5cm_20250620_123753_COM19.txt	3.0	32.5	20250620	123753	10049.0458	COM19	469.0000	0.0467	0.0022
output_x4cm_h10cm_20250611_135704_COM5.txt	4.0	10.0	20250611	135704	14848.6154	COM5	3048.0000	0.2053	0.0037
output_x4cm_h10cm_20250611_135715_COM19.txt	4.0	10.0	20250611	135715	14833.8701	COM19	3433.0000	0.2314	0.0039
output_x6cm_h32.5cm_20250616_172725_COM3.txt	6.0	32.5	20250616	172725	10755.3544	COM3	488.0000	0.0454	0.0021
output_x6cm_h32.5cm_20250616_173157_COM4.txt	6.0	32.5	20250616	173157	10488.5924	COM4	374.0000	0.0357	0.0018
output_x6cm_h32.5cm_20250620_153715_COM19.txt	6.0	32.5	20250620	153715	6109.4139	COM19	251.0000	0.0411	0.0026
output_x6cm_h32.5cm_20250620_153840_COM5.txt	6.0	32.5	20250620	153840	6203.3837	COM5	148.0000	0.0239	0.0020
output_x8cm_h10cm_20250611_135557_COM3.txt	8.0	10.0	20250611	135557	14911.0237	COM3	2093.0000	0.1404	0.0031
output_x8cm_h10cm_20250611_135727_COM8.txt	8.0	10.0	20250611	135727	14821.4021	COM8	1719.0000	0.1160	0.0028
output_x9cm_h32.5cm_20250616_173228_COM5.txt	9.0	32.5	20250616	173228	10463.4028	COM5	216.0000	0.0206	0.0014
output_x9cm_h32.5cm_20250616_173246_COM19.txt	9.0	32.5	20250616	173246	10446.0157	COM19	322.0000	0.0308	0.0017
output_x9cm_h32.5cm_20250620_153614_COM3.txt	9.0	32.5	20250620	153614	6043.4239	COM3	219.0000	0.0362	0.0024
output_x9cm_h32.5cm_20250620_153633_COM8.txt	9.0	32.5	20250620	153633	6078.8610	COM8	237.0000	0.0390	0.0025
output_x10cm_h10cm_20250612_122027_COM19.txt	10.0	10.0	20250612	122027	90552.2870	COM19	9935.0000	0.1097	0.0011
output_x10cm_h10cm_20250612_122556_COM8.txt	10.0	10.0	20250612	122556	90218.1610	COM8	8539.0000	0.0946	0.0010
output_x12cm_h10cm_20250612_115015_COM3.txt	12.0	10.0	20250612	115015	92350.8411	COM3	6293.0000	0.0681	0.0009
output_x12cm_h10cm_20250612_121053_COM4.txt	12.0	10.0	20250612	121053	91114.9992	COM4	5090.0000	0.0559	0.0008
output_x12cm_h10cm_20250617_154519_COM19.txt	12.0	10.0	20250617	154519	78215.3118	COM19	4528.0000	0.0579	0.0009
output_x14cm_h10cm_20250613_142633_COM3.txt	14.0	10.0	20250613	142633	89114.6132	COM3	4091.0000	0.0459	0.0007
output_x14cm_h10cm_20250613_142822_COM8.txt	14.0	10.0	20250613	142822	89010.2360	COM8	2381.0000	0.0267	0.0005
output_x16cm_h10cm_20250613_142706_COM4.txt	16.0	10.0	20250613	142706	89084.7110	COM4	2190.0000	0.0246	0.0005
output_x16cm_h10cm_20250613_142724_COM5.txt	16.0	10.0	20250613	142724	89070.1750	COM5	2050.0000	0.0230	0.0005
output_x18cm_h10cm_20250614_152932_COM3.txt	18.0	10.0	20250614	152932	74236.0536	COM3	1467.0000	0.0198	0.0005
output_x18cm_h10cm_20250614_153231_COM4.txt	18.0	10.0	20250614	153231	74061.4316	COM4	1115.0000	0.0151	0.0005
output_x20cm_h10cm_20250614_153523_COM5.txt	20.0	10.0	20250614	153523	73891.3485	COM5	684.0000	0.0093	0.0004
output_x20cm_h10cm_20250614_153938_COM19.txt	20.0	10.0	20250614	153938	73634.5555	COM19	833.0000	0.0113	0.0004
output_x25cm_h10cm_20250616_210304_COM3.txt	25.0	10.0	20250616	210304	64543.5510	COM3	374.0000	0.0058	0.0003
output_x25cm_h10cm_20250616_210401_COM4.txt	25.0	10.0	20250616	210401	64490.0513	COM4	317.0000	0.0049	0.0003
output_x30cm_h10cm_20250616_210438_COM5.txt	30.0	10.0	20250616	210438	64456.7492	COM5	156.0000	0.0024	0.0002
output_x30cm_h10cm_20250616_210534_COM19.txt	30.0	10.0	20250616	210534	64408.4859	COM19	206.0000	0.0032	0.0002
output_x100cm_h10cm_20250610_110919_COM3.txt	100.0	10.0	20250610	110919	12595.2248	COM3	20.0000	0.0016	0.0004
output_x100cm_h10cm_20250610_111018_COM4.txt	100.0	10.0	20250610	111018	12549.3314	COM4	32.0000	0.0025	0.0005
output_x100cm_h10cm_20250610_111101_COM5.txt	100.0	10.0	20250610	111101	12513.4442	COM5	18.0000	0.0014	0.0003
output_x100cm_h10cm_20250610_111130_COM19.txt	100.0	10.0	20250610	111130	12483.7093	COM19	32.0000	0.0026	0.0005
output_x100cm_h10cm_20250610_151525_COM3.txt	100.0	10.0	20250610	151525	78476.7591	COM3	133.0000	0.0017	0.0001
output_x100cm_h10cm_20250611_135637_COM4.txt	100.0	10.0	20250611	135637	14874.2573	COM4	49.0000	0.0033	0.0005
output_x100cm_h10cm_20250612_121524_COM5.txt	100.0	10.0	20250612	121524	90845.1994	COM5	173.0000	0.0019	0.0001
output_x100cm_h10cm_20250613_142744_COM19.txt	100.0	10.0	20250613	142744	89047.6981	COM19	206.0000	0.0023	0.0002
output_x100cm_h10cm_20250614_154508_COM8.txt	100.0	10.0	20250614	154508	73304.2808	COM8	305.0000	0.0042	0.0002
output_x100cm_h10cm_20250616_210605_COM8.txt	100.0	10.0	20250616	210605	64374.7342	COM8	172.0000	0.0027	0.0002
output_x100cm_h10cm_20250617_154542_COM8.txt	100.0	10.0	20250617	154542	78195.1620	COM8	142.0000	0.0018	0.0002
output_x100cm_h32.5cm_20250616_143635_COM8.txt	100.0	32.5	20250616	143635	7662.0628	COM8	12.0000	0.0016	0.0005
output_x100cm_h32.5cm_20250616_173254_COM8.txt	100.0	32.5	20250616	173254	10440.5972	COM8	18.0000	0.0017	0.0004
output_x100cm_h32.5cm_20250620_123731_COM4.txt	100.0	32.5	20250620	123731	10064.6494	COM4	15.0000	0.0015	0.0004
output_x100cm_h32.5cm_20250620_153729_COM4.txt	100.0	32.5	20250620	153729	6377.6924	COM4	13.0000	0.0020	0.0006
output_x200cm_h45cm_20250617_154403_COM3.txt	200.0	45.0	20250617	154403	78289.0480	COM3	167.0000	0.0021	0.0002
output_x200cm_h45cm_20250617_154432_COM4.txt	200.0	45.0	20250617	154432	78266.8710	COM4	137.0000	0.0018	0.0001